Order ID,Order Date,Region,City,Segment,Ship Mode,Category,Sub-Category,Product Name,Sales Rep,Customer Name,Quantity,Unit Price,Discount,Sales,Cost,Profit,Profit Margin
ORD-2024-2110,2024-01-15,West,San Francisco,Corporate,Same Day,Office Supplies,Binders,Presentation Binder Set,Daniel Reyes,James Williams,3,19.23,0.0,57.69,26.03,31.66,0.5488
ORD-2024-1491,2024-01-19,East,Philadelphia,Corporate,Standard Class,Furniture,Bookcases,Corner Bookcase,Ben Torres,Ava Johnson,1,191.78,0.0,191.78,129.95,61.83,0.3224
ORD-2024-2096,2024-01-27,South,Charlotte,Corporate,Standard Class,Office Supplies,Binders,Heavy-Duty 3-Ring Binder,Grace Lin,James Jones,8,12.85,0.05,97.66,49.69,47.97,0.4912
ORD-2024-2514,2024-01-27,West,Los Angeles,Consumer,Standard Class,Technology,Phones,Wireless Office Headset,Chloe Zhang,John Khan,5,135.94,0.0,679.7,472.42,207.28,0.305
ORD-2024-2157,2024-01-29,East,Philadelphia,Home Office,Second Class,Technology,Machines,Laser Printer Pro,Aisha Kumar,John Nguyen,1,456.35,0.3,319.44,291.12,28.32,0.0887
ORD-2024-1868,2024-01-29,South,Atlanta,Consumer,Standard Class,Technology,Copiers,All-in-One Copier,Grace Lin,Liam Smith,2,1299.23,0.1,2338.61,1930.3,408.31,0.1746
ORD-2024-2213,2024-02-02,East,New York,Consumer,Standard Class,Technology,Phones,Wireless Office Headset,Aisha Kumar,Jennifer Lee,2,136.75,0.0,273.5,177.66,95.84,0.3504
ORD-2024-2369,2024-02-07,West,San Francisco,Home Office,Same Day,Technology,Phones,Wireless Office Headset,Chloe Zhang,Ava Johnson,3,129.0,0.1,348.3,252.43,95.87,0.2753
ORD-2024-2085,2024-02-10,South,Nashville,Corporate,Standard Class,Furniture,Tables,Adjustable Standing Desk,Hiro Tanaka,Robert Smith,5,449.53,0.0,2247.65,1484.09,763.56,0.3397
ORD-2024-2548,2024-02-17,Central,Chicago,Corporate,Same Day,Furniture,Chairs,Ergo Mesh Office Chair,Ethan Osei,Elizabeth Jones,1,189.6,0.0,189.6,114.59,75.01,0.3956
